Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",133.47,0.46000000000001,+0.35%,133.14,133.7,131.62,551568,"13:05 ET"
AA,"Alcoa Corp",36.56,-0.75,-2.01%,37.75,38.15,36.59,1646866,"13:06 ET"
AAL,"American Airlines Gp",16.5,0.030000000000001,+0.18%,16.65,16.795,16.55,9322014,"13:07 ET"
AAON,"Aaon Inc",124.22,1.65,+1.35%,124.35,126.79,123.5,120662,"13:04 ET"
AAP,"Advance Auto Parts Inc",41.92,-1.05,-2.44%,43.45,44.16,41.17,770119,"13:05 ET"
AAPL,"Apple Inc",250.04,1.99,+0.80%,247.5,251.85,247.0949,24856886,"13:07 ET"
ABBV,"Abbvie Inc",172.63,-0.39,-0.23%,172.93,173.88,170.3411,1964551,"13:06 ET"
ABNB,"Airbnb Inc Cl A",128.05,0.51000000000001,+0.40%,129.13,131.08,128.06,1875076,"13:06 ET"
ABT,"Abbott Laboratories",112.64,0.70999999999999,+0.63%,111.54,112.83,111.28,2147159,"13:07 ET"
ACGL,"Arch Capital Grp Ltd",89.68,0.97000000000001,+1.09%,88.83,90.03,88.83,590538,"13:07 ET"
ACHC,"Acadia Healthcr Company",38.52,-0.53,-1.36%,39.19,39.38,38.22,478637,"13:01 ET"
ACI,"Albertsons Companies Inc Cl A",19.09,0.14,+0.74%,18.87,19.27,18.75,3261151,"13:07 ET"
ACM,"Aecom Technology Corp",106.76,-0.17,-0.16%,108.25,109.0299,106.8,179407,"13:06 ET"
ACN,"Accenture Plc",370.65,23.04,+6.63%,365,376.91,363.1934,3267267,"13:06 ET"
ADBE,"Adobe Systems Inc",444.63,3.32,+0.75%,443.41,449,440.2,2082977,"13:07 ET"
ADC,"Agree Realty Corp",70.76,0.14,+0.20%,70.59,71.48,70.35,377615,"13:06 ET"
ADI,"Analog Devices",208.95,1.18,+0.57%,209.6,210.61,207.23,1275731,"13:06 ET"
ADM,"Archer Daniels Midland",49.72,-0.13,-0.26%,50,50.35,49.57,1060329,"13:06 ET"
ADP,"Automatic Data Procs",292.45,3.95,+1.37%,287.63,293.9699,287.63,598676,"13:06 ET"
ADSK,"Autodesk Inc",293.42,0.59000000000003,+0.20%,293.65,297.82,290.94,486350,"13:07 ET"
ADT,"ADT Inc",6.78,-0.05,-0.73%,6.87,6.92,6.76,2365810,"13:07 ET"
AEE,"Ameren Corp",89.15,2.22,+2.55%,86.92,88.05,86.4,559693,"13:07 ET"
AEP,"American Electric Power Company",91.83,0.92,+1.01%,90.55,91.97,90.42,877467,"13:07 ET"
AES,"The Aes Corp",12.36,-0.14,-1.12%,12.45,12.58,12.24,6551137,"13:07 ET"
AFG,"American Financial Group",136.02,1.38,+1.02%,135.44,137.335,135.44,89622,"13:04 ET"
AFL,"Aflac Inc",101.56,1.19,+1.19%,100.91,102.04,100.59,693377,"13:07 ET"
AFRM,"Affirm Holdings Inc Cl A",62.83,-0.51,-0.81%,64.72,67.35,62.5001,5622260,"13:07 ET"
AGCO,"Agco Corp",88.49,-5.64,-5.99%,94.68,96.98,88.4106,1440958,"13:07 ET"
AGNC,"Agnc Investment Corp",9.28,-0.03,-0.32%,9.37,9.48,9.24,10883189,"13:05 ET"
AGO,"Assured Guaranty Ltd",85.72,-0.05,-0.06%,86.26,87.005,85.7,70284,"13:02 ET"
AGR,"Avangrid Inc",35.73,0.23999999999999,+0.68%,35.5,35.72,35.5,330231,"13:06 ET"
AIG,"American International Group",71.42,1.42,+2.03%,70.53,71.67,70.51,1957627,"13:07 ET"
AIZ,"Assurant Inc",209.54,1.9,+0.92%,208.67,210.81,208.055,75551,"13:00 ET"
AJG,"Arthur J. Gallagher & Company",279.63,1.14,+0.41%,278.77,282.15,276.9043,868978,"13:06 ET"
AKAM,"Akamai Technologies",94.78,0.66,+0.70%,94.72,95.615,94.26,546566,"13:07 ET"
